asset_type,name,project,location,display_name,labels
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:gke-hpa-service-reader,projects/192823657524,europe-north2,system:gke-hpa-service-reader,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/uas-hpa-external-metrics-reader,projects/192823657524,europe-north2,uas-hpa-external-metrics-reader,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:gke-hpa-actor,projects/192823657524,europe-north2,system:gke-hpa-actor,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:gke-hpa-actor,projects/192823657524,europe-north2,system:gke-hpa-actor,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/external-metrics-reader,projects/192823657524,europe-north2,external-metrics-reader,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:gke-controller,projects/192823657524,europe-north2,system:gke-controller,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:gke-controller,projects/192823657524,europe-north2,system:gke-controller,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/cluster-autoscaler-updateinfo,projects/192823657524,europe-north2,cluster-autoscaler-updateinfo,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/read-updateinfo,projects/192823657524,europe-north2,read-updateinfo,addonmanager.kubernetes.io/mode=Reconcile
apps.k8s.io/DaemonSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/apps/daemonsets/tpu-device-plugin,projects/192823657524,europe-north2,tpu-device-plugin,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=tpu-device-plugin
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/tpu-device-plugin,projects/192823657524,europe-north2,tpu-device-plugin,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=tpu-device-plugin
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/tpu-device-plugin,projects/192823657524,europe-north2,tpu-device-plugin,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=tpu-device-plugin
k8s.io/ServiceAccount,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/serviceaccounts/tpu-device-plugin-sa,projects/192823657524,europe-north2,tpu-device-plugin-sa,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=tpu-device-plugin
admissionregistration.k8s.io/ValidatingWebhookConfiguration,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/validation-webhook.snapshot.storage.k8s.io,projects/192823657524,europe-north2,validation-webhook.snapshot.storage.k8s.io,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/Role,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/snapshot-controller-leaderelection,projects/192823657524,europe-north2,snapshot-controller-leaderelection,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/snapshot-controller-role,projects/192823657524,europe-north2,snapshot-controller-role,addonmanager.kubernetes.io/mode=Reconcile
